"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"PC20"
"WP-03"	-0.10392872387309	-0.00682559170039751	-0.0130428995977956	0.00434817689492697	0.0246739691579631	-0.00270603752568854	-0.00815723675404118	0.0419626822810921	-0.0139443327473812	-0.0217178389107685	0.0289207143490795	-0.0537353102506049	0.0305584423620184	0.0171289606532815	-0.0431360143190682	0.0209493625050206	-0.0265032020558108	-0.0601346320933261	0.160015916509231	0.0324918471154809
"WP-11"	-0.110161125076567	0.0263655506392414	0.00467663975025076	0.0154960147035649	0.0673148539942307	-0.0273672870124246	-0.113727526389114	0.0707896233214828	-0.0614475007901379	0.105324562344533	0.174280045476705	0.0326524086159134	0.113001565064456	0.122312645043652	0.0525234782222034	-0.0453765857159607	0.0244454836692019	0.0629306353730997	-0.274973869692184	-0.0147472410480629
"WP-19"	-0.114082683746783	-0.0367807817653759	-0.0382519038006494	-0.00705754577913242	0.00405538491508231	-0.00711883959421971	0.103323595951239	-0.0694533515858604	0.0172741281996608	-0.0150310962006996	-0.0716042719544539	-0.150626456689468	-0.117230852126929	-0.117019973948779	-0.0421389804440494	0.00814739582009555	-0.0178382245727723	0.10354376740302	-0.198284200285578	0.00458983199071313
"WP-36"	-0.10946263955438	-0.0121719617836052	-0.00230112462245844	9.61724205942353e-05	-0.00359407793870621	0.00363313490018424	-0.0737259843909411	-0.0137698921087777	0.0140944370438001	0.0243551602186716	0.0301475859886365	-0.179257495283631	0.106247935695316	0.0785649975186995	-0.0808870500479624	-0.0177525896478787	0.0591955092664593	0.0111551771245407	0.104276063383485	-0.0204016720047749
"WP-44"	-0.103912411323743	-0.0100074143786935	-0.0141302695031432	-0.00335489697766017	0.000881791836315846	-0.00953618054602795	0.0310161752188099	-0.0329138601316906	-0.0127468500340282	-0.0382606540530234	-0.045993845580164	0.11068491943331	-0.092646101071253	-0.135818949800759	-0.0423003313212911	0.00395751405586774	-0.0639878194587407	0.0325206213363979	-0.0939062552217764	0.0558383321912325
"WP-52"	-0.107645844456498	0.011655220440715	0.0178062766807398	-0.00399020593290499	0.00518362008986002	-0.0233202958473334	-0.00452923581162225	-0.0280920995316693	0.0116412776495081	0.00576598444929244	0.096489242527529	-0.0544709666297258	0.00732561955539282	0.013310169197751	0.0317955442226094	0.0274969379499307	0.0273240893190678	-0.0249244749401825	0.0739928739085256	0.0235368535876076
"WK16.12"	0.0858114033909254	0.0508873893731091	-0.135991621209789	-0.0395106909964066	0.0329299986476307	-0.0591547178791445	0.186937659795728	0.0152742826931604	-0.0492743361651256	0.0624826161284876	0.023749922486073	0.0543374323237556	0.207328408111605	0.0224049655907913	0.045092330344444	0.0836044541074647	-0.246704265934557	-0.206747972476276	-0.0939541073750068	0.0164361995614269
"WK16-28"	0.10969575667561	-0.212025600018603	-0.0590668498850469	-0.0578663960931793	-0.0854965271237636	-0.0134214697958315	-0.0994601040315152	0.199129762480895	0.0608187730722785	0.0527683814454014	-0.00355973613855191	-0.0109362661971829	0.0591390315971164	0.0788571017585982	0.109560761826499	-0.0503139769582868	0.0674511424134191	0.138603909659477	-0.117179766352932	0.30504384882116
"WK16-44"	0.0800679095739749	-0.0290192139573246	-0.151600183134075	0.0725705641902464	0.199621896002492	-0.158040905273122	-0.149122764500082	-0.0521595332609098	0.255408162392364	-0.243637541392422	-0.122286493864793	-0.0774923840342133	0.221805846858065	0.0907882908907932	0.061347602933883	0.177177217750594	-0.135954918774799	0.0576551203969331	0.0255488931300248	0.211696094020668
"WK16-58"	0.117875531225067	0.0320946994506226	0.088719516409389	-0.203646952509117	-0.0919530563395737	0.0278060791154583	0.175339919744279	-0.183969463653871	0.357423629416053	0.0925857444625391	0.0108375593730677	0.0349976330000788	0.204380999008677	0.0181631043137083	-0.0691453789711872	0.0595988195238046	0.0678080879921383	0.167348052560431	-0.117973046716805	0.0673669594250218
"WK16-75"	0.0996786862677389	0.0377354831171222	-0.195599151397361	0.0939357383794516	0.0237865526549377	0.0442836060940791	0.131368602550045	0.318879772614203	-0.0530221235523463	0.0357323517918234	0.135127192279087	-0.0175515872656856	-0.0338118010713583	0.00985652456583951	0.0333358938979466	-0.0697011032934169	0.0216030503571675	0.0772952535957962	0.0552757124221733	0.170688612049059
"WK16-92"	0.113163896345571	0.224490638967783	-0.0868210348263871	-0.0243647920613407	0.203085362646959	0.295791661394045	-0.143888102089839	0.256161547330807	0.00590059291122033	0.0347664168045918	-0.155746640006092	0.00393620654614371	-0.0136388234926697	-0.0649077940156887	-0.149716183926525	0.121954793004962	0.190621552251057	-0.0600451964959035	0.0693940823728058	-0.100705735779538
"WP-04"	-0.100551441302666	-0.00254895572745199	-0.0277862619472476	0.00622533430210096	0.000669179450145531	-0.0184084855475043	0.0369226004027358	0.016000318966523	0.0396392668669949	-0.0748317946884099	-0.000106881285736212	-0.137659154370005	0.0472429063684962	-0.081700858927896	-0.102040576887014	-0.0273587962565026	-0.0205232122235929	-0.0301704124001772	-0.00539537470836853	-0.0431146844245904
"WP-12"	-0.108585590969546	-0.0228338010913034	0.0185838035958808	0.0174820217083155	0.00704055636957368	0.00399289105001853	-0.0671174136128079	0.00293136535159584	-0.0314757509085217	0.0459352592295206	0.043278799504864	-0.0798845003816012	0.0749180995084644	0.0225441800338488	0.023505711151057	-0.103155385263349	-0.113945984009752	0.140689617436053	-0.199560437638532	-0.087270549546305
"WP-20"	-0.102237999024038	0.0306802098692125	-0.0178642640590975	-0.0226788271513906	0.0116773650104739	0.0329045638666463	0.0120755369844357	-0.00684837083360756	-0.0118449704267266	-0.00501009610734766	-0.109898110601053	0.23277228898826	-0.0913401078392842	0.0849709252368532	0.0866740096067805	0.068576339499128	0.0802750760117964	-0.0813876982787895	-0.0211211316682168	0.0744419250057537
"WP-37"	-0.111072423843275	0.0481033454645545	0.0339814069625618	-0.0582417902202104	0.00633744335150343	0.0381422575084561	-0.0602472080862282	0.0493327831744988	-0.0122436277141198	0.049986808708078	-0.0122512452372112	0.337906792895207	-0.0766642768534108	0.159690527255827	0.216927478960587	0.00121827122013569	0.0796488076131589	0.0594410327730027	0.00140067281039425	0.0950374883015318
